id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
35390119,Beautiful house【忍】Traditional Japanese style/ 110㎡,210199913,Satoru,Sumida Ku,35.70182,139.81049,Entire home/apt,24963,2,0,,,10,141
35394397,【OPENING SALE!】No extra fee! Max 5 min!,265908299,Masahiro,Taito Ku,35.71361,139.79368,Entire home/apt,20014,1,0,,,5,199
35395244,akihabara/female-only/dormitory-hostel/tokyo/ueno,255968596,ｼﾝｲﾁ,Chiyoda Ku,35.69626,139.77694,Shared room,3013,1,0,,,8,180
35395245,秋葉原･女性専用ﾄﾞﾐﾄﾘｰﾎｽﾃﾙ｡少し歩けば駅ですが､夜はとても静かです｡,255968596,ｼﾝｲﾁ,Chiyoda Ku,35.69707,139.77858,Shared room,3013,1,0,,,8,180
35396838,Two-Room Apartment With Own Bathroom (A6),25865449,Seungkwan,Shinjuku Ku,35.69944,139.70456,Entire home/apt,20014,3,1,2019-06-18,1,19,316
35396970,【OPENprice】Tokyo University #MAX6,218406513,Daiju,Bunkyo Ku,35.71957,139.75311,Entire home/apt,13988,1,0,,,3,173
35398501,Free Parking/Sangen-jaya Sta♪5min￫Shibuya/3Bdrms!,264883119,Koji,Setagaya Ku,35.64614,139.67185,Entire home/apt,20014,2,2,2019-06-24,2,1,92
35399544,東京新橋ｴﾘｱ貸切ﾄﾞﾐﾄﾘｰ20人部屋団体客歓迎,101324346,Sou,Minato Ku,35.66267,139.75426,Shared room,60041,2,0,,,18,15
35401390,3F/Relaxing sweet room in Kagurazaka/Shinjuku,61330265,Nagisa,Shinjuku Ku,35.70562,139.73099,Entire home/apt,30021,1,1,2019-06-23,1,3,145
35402072,"Q3:205 Shinjuku area 4mins, 4 people, relax",50264232,Sota,Shinjuku Ku,35.69907,139.68996,Entire home/apt,50035,1,3,2019-06-25,3,17,51
35407913,JR池袋駅徒歩5分新築一軒家,189502014,梦露,Toshima Ku,35.73505,139.71297,Entire home/apt,36046,2,0,,,5,126
35411401,"｢Rs,102｣★3人可★浅草上野秋叶原附近公寓",62214812,Riku.,Taito Ku,35.70412,139.78337,Entire home/apt,10975,2,0,,,8,30
35412772,"｢Rs,401｣★6人间★浅草上野秋叶原附近民宿公寓",62214812,Riku.,Taito Ku,35.70443,139.78451,Entire home/apt,17216,2,0,,,8,28
35412777,"｢Rs,301｣★6人间★浅草上野秋叶原附近民宿公寓",62214812,Riku.,Taito Ku,35.7046,139.78523,Entire home/apt,17001,2,0,,,8,25
35429752,Cozy Home - Best Location  Akasaka/Roppongi  VP#11,17228309,Zen,Minato Ku,35.66958,139.73602,Entire home/apt,16033,2,0,,,25,81
35429875,Holiday View Inn 6 Room Shinjuku/ Free Pocket-wifi,216354215,Mariz,Shinjuku Ku,35.6993,139.6985,Private room,17969,1,0,,,2,124
35430141,Peaceful Rest  Akasaka/ Roppongi VP#12,17228309,Zen,Minato Ku,35.66971,139.73509,Entire home/apt,13988,2,0,,,25,91
35432151,NEW Easy access to Shinjuku 2min/Free Wi-Fi/MAX 4,266657724,Hatsumi,Shibuya Ku,35.67984,139.68353,Entire home/apt,6994,2,2,2019-06-21,2,1,308
35433390,"【惠比寿#4】New Open!!山手线惠比寿站10分,步行至目黑/渋谷,全新独立房源",232836811,Xiao,Shibuya Ku,35.64729,139.72024,Entire home/apt,10975,1,0,,,26,160
35433474,Shinjuku Valuable Room for Group and Family,225641029,Genzo,Shinjuku Ku,35.69346,139.70899,Entire home/apt,50035,1,0,,,6,102
35434658,"Nice designed,cozy apartment Shinjuku Area #5",266670311,Mari,Shinjuku Ku,35.70177,139.70407,Entire home/apt,12051,1,1,2019-06-24,1,1,68
35435663,Cozy Room - 2 min away from Ikebukuro Station,215606612,Hayato,Toshima Ku,35.73076,139.72744,Entire home/apt,30021,1,0,,,15,125
35436516,Holiday View Inn Room Shinjuku / Free Pocket-wifi,216354215,Mariz,Shinjuku Ku,35.70027,139.69633,Private room,13988,1,0,,,2,106
35438919,From Ueno JR station walk for 5 mins/Metro 5 mins,198555536,Liu,Taito Ku,35.7123,139.77914,Entire home/apt,4950,31,0,,,4,61
35439780,Cozy Room - 2 min away from Ikebukuro Station,215606612,Hayato,Toshima Ku,35.73098,139.72746,Entire home/apt,30021,1,0,,,15,125
35443210,"6mins to shinjuku,8mins to station(have wifi)#2",172143235,Kasumata,Suginami Ku,35.70828,139.65583,Entire home/apt,9039,1,1,2019-06-26,1,3,155
35445086,"JR Yamamoto Line/Nishi-Nippori/☆2toilet,4 bedroom",205906665,Anna,Arakawa Ku,35.7348,139.77375,Entire home/apt,19799,1,0,,,11,349
35447167,"Near Skytree, Asakusa/  Station 3 mins walk /☆3DK",205906665,Anna,Sumida Ku,35.71941,139.8141,Entire home/apt,19799,1,0,,,11,359
35458405,永春民宿0203,254381132,宜坤,Taito Ku,35.72744,139.79899,Private room,13020,1,0,,,2,145
